R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,country,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,red_win,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,B_Stance_Switch ,B_Stance_unknown
Carlos Ulberg,Tafon Nchukwi,135.0,-155.0,135.0,64.5161,2022-06-25,USA,False,Light Heavyweight,MALE,3,1,0,0,5.57,0.52,0.0,0.76,0.57,2,2,14,0,0,0,2,1,0,0,3,182.88,195.58,185,0,1,0,7.41,0.59,0.3,0.95,0.75,1,1,6,0,0,0,1,1,0,0,2,193.04,195.58,205,31,27,1,-1,1,1,1,8,0,0,0,-10.16,0.0,-4,-1.84,-0.3,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,1.0,1:15,75.0,380.0,0.0,1800.0,0.0,240.0,0.0,1,True,False,False,True,False,False,False,False
Shayilan Nuerdanbieke,TJ Brown,175.0,-205.0,175.0,48.7805,2022-06-25,USA,False,Featherweight,MALE,3,0,2,0,3.37,0.44,1.3,3.41,0.57,2,2,14,0,0,1,1,0,1,0,3,175.26,182.88,145,0,1,0,1.95,0.45,0.2,3.3,0.35,1,1,6,0,0,0,1,0,0,0,1,172.72,175.26,145,28,32,0,1,1,2,1,8,0,0,1,2.54,7.62,4,1.42,1.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,unknown,3.0,5:00,900.0,300.0,140.0,1300.0,300.0,800.0,600.0,1,True,False,False,False,False,True,False,False
Raulian Paiva,Sergey Morozov,145.0,-170.0,145.0,58.8235,2022-06-25,USA,False,Bantamweight,MALE,3,1,0,0,3.01,0.43,0.0,3.63,0.31,1,2,7,0,0,0,1,0,0,0,1,167.64,170.18,135,1,0,0,4.14,0.42,0.2,0.65,0.23,3,3,16,0,1,1,1,1,0,0,4,172.72,175.26,135,26,33,0,0,-2,-3,-1,-9,0,-1,0,-5.08,-5.08,7,-1.13,-0.2,2.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,unknown,3.0,5:00,900.0,330.0,150.0,900.0,900.0,425.0,350.0,0,True,False,False,True,False,False,False,False
JP Buys,Cody Durden,-125.0,105.0,80.0,105.0,2022-06-25,USA,False,Flyweight,MALE,3,1,0,1,3.19,0.5,0.8,4.6,0.5,1,2,8,0,0,0,1,0,0,0,1,170.18,170.18,125,2,0,0,1.88,0.39,2.3,1.55,0.25,1,3,8,0,0,0,0,0,1,0,1,165.1,170.18,135,26,31,-1,0,0,0,-1,0,0,0,-1,5.08,0.0,5,1.31,-1.5,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punch,1.0,1:08,68.0,300.0,240.0,300.0,850.0,550.0,400.0,0,True,False,False,False,True,False,False,False
Brian Kelleher,Mario Bautista,170.0,-200.0,170.0,50.0,2022-06-25,USA,False,Bantamweight,MALE,3,0,1,0,5.69,0.48,1.0,2.25,0.44,2,2,11,0,0,0,2,1,0,0,3,175.26,175.26,135,1,0,0,3.31,0.41,0.7,1.68,0.41,2,6,29,0,0,0,3,2,3,0,8,167.64,167.64,135,35,28,-1,1,0,-5,-4,-18,0,-1,-3,7.62,7.62,-7,2.38,0.3,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,Rear Naked Choke,1.0,2:27,147.0,425.0,165.0,550.0,600.0,600.0,330.0,0,False,False,True,False,False,True,False,False
Vanessa Demopoulos,Jinh Yu Frey,200.0,-240.0,200.0,41.6667,2022-06-25,USA,False,Women's Strawweight,FEMALE,3,0,2,0,2.97,0.43,0.3,1.02,0.36,2,2,12,0,0,0,2,0,0,0,2,160.02,165.1,115,0,1,0,3.98,0.41,0.6,0.42,0.11,1,2,7,0,0,0,0,0,1,0,1,157.48,149.86,115,33,37,0,1,1,1,0,5,0,0,-1,2.54,15.24,4,-1.01,-0.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,unknown,3.0,5:00,900.0,400.0,-110.0,550.0,600.0,1600.0,550.0,1,True,False,False,False,True,False,False,False
Calvin Kattar,Josh Emmett,-280.0,235.0,35.7143,235.0,2022-06-18,USA,False,Featherweight,MALE,5,0,4,0,4.04,0.36,0.1,0.91,0.37,4,2,25,1,0,1,4,3,0,0,8,167.64,177.8,145,0,1,0,4.76,0.39,0.1,0.39,0.29,2,3,31,0,0,0,3,4,0,0,7,180.34,182.88,145,34,37,0,3,2,1,-1,-6,1,-1,0,-12.7,-5.08,3,-0.72,0.0,0.52,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,Red,S-DEC,unknown,5.0,5:00,1500.0,0.0,450.0,0.0,2000.0,0.0,425.0,0,True,False,False,True,False,False,False,False
Tim Means,Kevin Holland,280.0,-340.0,280.0,29.4118,2022-06-18,USA,False,Welterweight,MALE,3,0,1,0,4.25,0.49,0.6,0.84,0.38,5,4,39,0,0,2,2,4,2,0,10,190.5,205.74,185,0,3,0,5.08,0.49,0.2,1.16,0.4,4,9,54,0,0,1,6,5,2,0,14,187.96,190.5,170,38,29,0,-2,1,-4,-5,-15,0,-1,0,2.54,15.24,-9,-0.83,0.4,-0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,SUB,D'Arce Choke,2.0,1:28,388.0,450.0,175.0,2000.0,500.0,600.0,180.0,0,True,False,False,True,False,False,False,False
Joaquin Buckley,Albert Duraev,195.0,-230.0,195.0,43.4783,2022-06-18,USA,False,Middleweight,MALE,3,0,2,0,2.99,0.4,0.6,1.97,0.29,2,0,4,0,0,0,1,0,1,0,2,180.34,190.5,185,0,2,0,4.25,0.36,0.0,1.69,0.44,2,2,14,0,0,1,0,3,0,0,4,177.8,193.04,170,28,33,0,0,0,-2,-2,-10,0,-3,1,2.54,-2.54,5,-1.26,0.6,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,unknown,2.0,5:00,600.0,650.0,250.0,2800.0,200.0,330.0,380.0,1,False,True,False,True,False,False,False,False
Damir Ismagulov,Guram Kutateladze,-230.0,195.0,43.4783,195.0,2022-06-18,USA,False,Lightweight,MALE,3,0,1,0,3.95,0.45,0.0,0.77,0.2,1,0,3,0,0,1,0,0,0,0,1,180.34,182.88,155,0,4,0,3.36,0.42,0.0,1.0,0.28,4,0,12,0,0,0,4,0,0,0,4,177.8,187.96,155,31,30,0,-3,-3,-3,0,-9,0,0,0,2.54,-5.08,-1,0.59,0.0,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,unknown,3.0,5:00,900.0,100.0,350.0,2000.0,1600.0,425.0,350.0,1,True,False,False,True,False,False,False,False
Julian Marquez,Gregory Rodrigues,145.0,-170.0,145.0,58.8235,2022-06-18,USA,False,Middleweight,MALE,3,1,0,0,5.52,0.56,0.4,2.74,0.41,2,2,9,0,0,0,1,1,0,0,2,190.5,190.5,185,0,2,0,4.85,0.45,2.6,0.0,0.0,2,1,12,0,0,0,0,1,3,0,4,187.96,182.88,185,32,30,1,-2,0,-2,1,-3,0,0,-3,2.54,7.62,-2,0.67,-2.2,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punch,1.0,3:18,198.0,550.0,330.0,800.0,400.0,330.0,225.0,0,True,False,False,True,False,False,False,False
Adrian Yanez,Tony Kelley,-325.0,270.0,30.7692,270.0,2022-06-18,USA,False,Bantamweight,MALE,3,0,2,0,5.55,0.47,1.4,0.0,0.0,2,1,8,0,0,0,1,1,0,0,2,175.26,177.8,135,0,5,0,6.51,0.41,0.0,0.0,0.0,5,0,10,0,0,1,0,4,0,0,5,170.18,177.8,135,28,35,0,-3,-3,-3,1,-2,0,-3,0,5.08,0.0,7,-0.96,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,1.0,3:49,229.0,175.0,475.0,900.0,1100.0,130.0,900.0,1,True,False,False,False,False,True,False,False
Jasmine Jasudavicius,Natalia Silva,-260.0,220.0,38.4615,220.0,2022-06-18,USA,False,Women's Flyweight,FEMALE,3,0,0,0,4.53,0.44,0.0,0.5,0.28,0,0,0,0,0,0,0,0,0,0,0,162.56,165.1,125,0,2,0,3.79,0.45,0.5,2.39,0.41,2,0,6,0,0,0,2,0,0,0,2,170.18,172.72,125,33,25,0,-2,-2,-2,0,-6,0,0,0,-7.62,-7.62,-8,0.74,-0.5,-1.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,unknown,3.0,5:00,900.0,105.0,400.0,600.0,600.0,400.0,1400.0,0,True,False,False,False,True,False,False,False
Court McGee,Jeremiah Wells,105.0,-125.0,105.0,80.0,2022-06-18,USA,False,Welterweight,MALE,3,0,2,0,2.41,0.43,0.8,3.08,0.44,2,0,3,0,0,0,0,1,1,0,2,175.26,187.96,170,0,2,0,4.6,0.37,0.4,1.84,0.25,3,9,54,1,0,1,7,0,2,0,10,180.34,190.5,170,37,35,0,0,-1,-8,-9,-51,-1,1,-1,-5.08,-2.54,-2,-2.19,0.4,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punch,1.0,1:34,94.0,150.0,300.0,1200.0,400.0,650.0,400.0,0,True,False,False,False,False,True,False,False
Ricardo Ramos,Danny Chavez,-330.0,275.0,30.303,275.0,2022-06-18,USA,False,Featherweight,MALE,3,1,0,1,2.86,0.38,0.0,1.95,0.6,1,1,9,0,0,0,1,0,0,0,1,172.72,170.18,145,1,0,0,3.03,0.36,0.8,2.77,0.61,3,3,21,0,0,1,3,1,1,0,6,175.26,182.88,145,26,35,0,0,-2,-5,-2,-12,0,-1,-1,-2.54,-12.7,9,-0.17,-0.8,-0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Spinning Back Elbow,1.0,1:12,72.0,-105.0,550.0,380.0,2200.0,550.0,500.0,1,True,False,False,True,False,False,False,False
Maria Oliveira,Gloria de Paula,235.0,-280.0,235.0,35.7143,2022-06-18,USA,False,Women's Strawweight,FEMALE,3,0,1,0,4.89,0.53,0.5,0.74,0.37,1,2,10,0,0,0,2,0,0,0,2,165.1,170.18,115,2,0,0,5.03,0.38,0.0,0.95,0.44,0,2,4,0,0,0,0,0,0,0,0,167.64,175.26,115,25,27,-2,1,1,2,0,6,0,0,0,-2.54,-5.08,2,-0.14,0.5,-0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,unknown,3.0,5:00,900.0,0.0,-115.0,0.0,1200.0,0.0,350.0,1,True,False,False,True,False,False,False,False
Eddie Wineland,Cody Stamann,575.0,-800.0,575.0,12.5,2022-06-18,USA,False,Bantamweight,MALE,3,3,0,1,4.35,0.47,0.0,2.22,0.37,3,4,27,0,0,2,3,0,0,0,5,167.64,162.56,135,2,0,0,3.4,0.29,0.1,0.34,0.33,4,11,49,3,0,1,2,8,0,0,11,170.18,175.26,135,37,32,1,0,-1,-6,-7,-22,-3,-8,0,-2.54,-12.7,-5,0.95,-0.1,1.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,1.0,0:59,59.0,900.0,105.0,3500.0,700.0,850.0,165.0,0,True,False,False,True,False,False,False,False
Phil Hawes,Deron Winn,-250.0,210.0,40.0,210.0,2022-06-18,USA,False,Middleweight,MALE,3,0,1,0,4.55,0.44,0.0,4.28,0.52,1,2,12,0,0,0,2,0,0,0,2,167.64,177.8,185,1,0,0,5.33,0.59,0.2,2.11,0.34,4,2,11,0,1,0,1,2,0,0,4,182.88,195.58,185,33,33,-1,1,-3,-2,0,1,0,-2,0,-15.24,-17.78,0,-0.78,-0.2,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Elbows,2.0,4:25,565.0,250.0,450.0,750.0,1800.0,120.0,600.0,1,True,False,False,True,False,False,False,False
Roman Dolidze,Kyle Daukaus,205.0,-245.0,205.0,40.8163,2022-06-18,USA,False,Middleweight,MALE,3,0,1,0,3.22,0.52,1.9,2.12,0.25,1,2,14,0,0,0,2,0,1,0,3,190.5,193.04,185,0,1,0,3.13,0.42,1.1,1.26,0.4,2,1,10,0,0,1,1,1,0,0,3,187.96,193.04,185,33,29,0,0,-1,0,1,4,0,-1,1,2.54,0.0,-4,0.09,0.8,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Knee,1.0,1:13,73.0,380.0,165.0,1100.0,250.0,800.0,450.0,1,True,False,False,False,True,False,False,False
Glover Teixeira,Jiri Prochazka,185.0,-225.0,185.0,44.4444,2022-06-11,Singapore,True,Light Heavyweight,MALE,5,0,2,0,5.38,0.55,0.2,0.72,0.6,2,0,4,2,0,0,0,2,0,0,2,190.5,203.2,205,0,6,0,3.73,0.49,0.9,2.11,0.33,8,6,56,3,0,1,2,8,8,0,19,187.96,193.04,205,42,29,0,-4,-6,-17,-6,-52,-1,-6,-8,2.54,10.16,-13,1.65,-0.7,-1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,SUB,Rear Naked Choke,5.0,4:32,1472.0,900.0,650.0,330.0,1600.0,800.0,-135.0,0,True,False,False,True,False,False,False,False
Valentina Shevchenko,Taila Santos,-630.0,450.0,15.873,450.0,2022-06-11,Singapore,True,Women's Flyweight,FEMALE,5,0,4,0,3.39,0.48,1.1,2.0,0.76,4,1,16,0,0,0,4,0,1,0,5,167.64,172.72,125,0,8,0,3.28,0.52,0.4,2.56,0.63,8,2,46,10,0,1,4,4,2,0,11,165.1,167.64,125,34,28,0,-4,-4,-6,-1,-30,-10,-4,-1,2.54,5.08,-6,0.11,0.7,-0.56,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,S-DEC,unknown,5.0,5:00,1500.0,110.0,900.0,450.0,1800.0,180.0,1600.0,1,False,True,False,True,False,False,False,False
Zhang Weili,Joanna Jedrzejczyk,-160.0,140.0,62.5,140.0,2022-06-11,Singapore,False,Women's Strawweight,FEMALE,3,1,0,0,6.28,0.48,0.1,0.27,0.62,8,4,55,10,0,1,7,2,0,0,10,167.64,165.1,115,2,0,0,5.66,0.53,0.5,2.51,0.46,5,2,19,7,0,1,2,1,1,0,5,162.56,160.02,115,32,34,-1,0,3,5,2,36,3,1,-1,5.08,5.08,2,0.62,-0.4,-2.24,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,KO/TKO,Spinning Back Fist,2.0,2:28,448.0,120.0,200.0,1200.0,2800.0,400.0,900.0,1,False,False,True,True,False,False,False,False
Andre Fialho,Jake Matthews,100.0,-120.0,100.0,83.3333,2022-06-11,Singapore,False,Welterweight,MALE,3,1,0,0,3.38,0.44,0.6,1.56,0.41,3,5,37,0,0,1,4,1,4,0,10,180.34,185.42,170,0,2,0,3.3,0.41,0.0,0.25,1.0,2,1,5,0,0,0,0,2,0,0,2,182.88,187.96,170,28,27,1,-2,1,8,4,32,0,-1,4,-2.54,-2.54,-1,0.08,0.6,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punch,2.0,2:24,444.0,600.0,215.0,2000.0,600.0,120.0,1000.0,0,True,False,False,True,False,False,False,False
Jack Della Maddalena,Ramazan Emeev,-190.0,160.0,52.6316,160.0,2022-06-11,Singapore,False,Welterweight,MALE,3,1,0,0,2.53,0.45,0.7,2.37,0.29,3,2,21,0,0,1,4,0,0,0,5,177.8,193.04,170,0,2,0,6.74,0.53,0.2,0.21,0.16,2,0,4,0,0,0,1,1,0,0,2,180.34,185.42,170,25,35,1,-2,1,3,2,17,0,-1,0,-2.54,7.62,10,-4.21,0.5,2.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punch,1.0,2:32,152.0,150.0,240.0,1400.0,900.0,275.0,1200.0,1,False,False,True,False,True,False,False,False
SeungWoo Choi,Josh Culibao,-225.0,185.0,44.4444,185.0,2022-06-11,Singapore,False,Featherweight,MALE,3,0,1,1,3.41,0.44,0.3,0.0,0.0,1,1,8,0,0,0,1,0,0,0,1,177.8,185.42,145,1,0,0,3.51,0.39,0.0,0.86,0.54,3,3,15,0,0,0,2,1,0,0,3,182.88,187.96,145,29,28,-1,1,-2,-2,-2,-7,0,-1,0,-5.08,-2.54,-1,-0.1,0.3,-0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,S-DEC,unknown,3.0,5:00,900.0,165.0,350.0,1800.0,1600.0,175.0,700.0,0,True,False,False,True,False,False,False,False
Maheshate,Steve Garcia,170.0,-200.0,170.0,50.0,2022-06-11,Singapore,False,Lightweight,MALE,3,0,1,0,5.0,0.56,0.6,1.27,0.4,1,1,6,0,0,0,0,2,0,0,2,182.88,190.5,145,0,1,0,3.9,0.28,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,182.88,180.34,155,22,30,0,0,0,1,1,3,0,2,0,0.0,10.16,8,1.1,0.6,1.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punch,1.0,1:14,74.0,450.0,300.0,2500.0,450.0,330.0,175.0,1,True,False,False,False,True,False,False,False
Brendan Allen,Jacob Malkoun,-290.0,230.0,34.4828,230.0,2022-06-11,Singapore,False,Middleweight,MALE,3,0,2,0,3.86,0.56,0.4,6.62,0.42,2,1,7,0,0,0,2,0,0,0,2,175.26,185.42,185,0,1,0,3.98,0.53,1.4,1.74,0.47,4,2,17,0,0,0,2,1,4,0,7,187.96,190.5,185,26,26,0,1,-2,-5,-1,-10,0,-1,-4,-12.7,-5.08,0,-0.12,-1.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,unknown,3.0,5:00,900.0,250.0,550.0,165.0,1100.0,330.0,750.0,1,True,False,False,True,False,False,False,False
Kyung Ho Kang,Batgerel Danaa,-120.0,100.0,83.3333,100.0,2022-06-11,Singapore,False,Bantamweight,MALE,3,1,0,0,5.38,0.36,0.0,0.52,0.5,3,2,8,0,0,0,0,3,0,0,3,170.18,177.8,135,1,0,0,3.13,0.47,0.8,1.97,0.5,3,3,26,0,0,3,0,0,3,0,6,175.26,185.42,135,34,32,0,0,0,-3,-1,-18,0,3,-3,-5.08,-7.62,-2,2.25,-0.8,-1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,unknown,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,1,True,False,False,True,False,False,False,False
Liang Na,Silvana Gomez Juarez,0.0,0.0,0.0,0.0,2022-06-11,Singapore,False,Women's Strawweight,FEMALE,3,2,0,0,4.26,0.32,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,0,160.02,165.1,115,1,0,0,1.99,0.42,0.5,3.6,0.58,0,1,2,0,0,0,0,0,0,0,0,165.1,170.18,125,25,37,1,0,0,0,1,0,0,0,0,-5.08,-5.08,12,2.27,-0.5,-3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,KO/TKO,Punches,1.0,1:22,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0,True,False,False,True,False,False,False,False
Ramona Pascual,Joselyne Edwards,0.0,0.0,0.0,0.0,2022-06-11,Singapore,False,Women's Featherweight,FEMALE,3,2,0,0,4.35,0.51,0.4,0.88,0.33,1,2,9,0,0,0,1,0,0,0,1,172.72,177.8,135,1,0,0,3.87,0.57,0.0,1.81,0.19,0,1,3,0,0,0,0,0,0,0,0,170.18,167.64,135,33,26,1,0,1,1,1,6,0,0,0,2.54,10.16,-7,0.48,0.4,-0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,neither,U-DEC,unknown,3.0,5:00,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0,False,True,False,True,False,False,False,False
Alexander Volkov,Jairzinho Rozenstruik,-170.0,150.0,58.8235,150.0,2022-06-04,USA,False,Heavyweight,MALE,5,1,0,0,3.75,0.49,0.0,0.0,0.0,4,3,21,0,0,0,0,6,0,0,6,187.96,198.12,242,1,0,0,5.13,0.57,0.2,0.45,0.63,4,4,37,0,0,1,3,4,0,0,8,200.66,203.2,250,33,34,0,0,0,-2,-1,-16,0,2,0,-12.7,-5.08,1,-1.38,-0.2,-0.45,8.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Red,KO/TKO,Punches,1.0,2:12,132.0,140.0,700.0,1400.0,3500.0,300.0,215.0,1,True,False,False,True,False,False,False,False
